adverb,antonym
completely,partially
partially,completely
quickly,slowly
slowly,quickly
gently,firmly
firmly,gently
carefully,carelessly
carelessly,carefully
evenly,unevenly
unevenly,evenly
continuously,periodically
periodically,continuously
neatly,messily
messily,neatly
properly,improperly
improperly,properly
forwards,backwards
backwards,forwards
upwards,downwards
downwards,upwards
instantly,gradually
gradually,instantly
loudly,quietly
quietly,loudly
horizontally,vertically
vertically,horizontally
purposefully,accidently
accidently,purposefully
out,in
in,out
outdoor,indoor
indoor,outdoor
off,on
on,off
